activity,index,velocity,upper-bound (seconds)
standing,0,426330.97559090843,9.993185043334961
standing,1,463004.83797441504,9.992799043655396
jumping,0,1337461.3769877173,9.996243000030518
jumping,1,1244795.595583843,9.992568969726562
driving,0,273853.24623982573,9.988796949386597
driving,1,286051.8792396731,9.988430976867676
walking,0,508497.5073259313,9.995225191116333
walking,1,495498.2832498029,9.992071866989136
